project_id,latitude,longitude,neighbourhood_cleansed,price,room_type,accommodates,bedrooms,beds,host_is_superhost,number_of_reviews,reviews_per_month,review_scores_rating,minimum_nights,availability_365,amenities_count,bathrooms,NEAR_DIST,House_Buffer_metro_500Join,House_Buffer_metro_100Join,House_Buffer_bus_500Join,House_Buffer_bus_100Join,count_shop_500m,count_rest_500m,count_commercial_500m,dist_to_beach,dist_to_park,dist_to_water,dist_to_tour
6376,22.31891714795556,114.16656263537608,Yau Tsim Mong,668,Entire home/apt,6,2,3,0,25,5.64,4.92,1,121,9,1,638.8394993441591,0,0,141,4,53,140,193,2026.839498277743,213.90428010213196,471.7753675352295,460.2953826494368
6377,22.277940228981645,114.18377107004764,Wan Chai,480,Private room,1,1,1,0,0,0,0,28,115,8,1,926.8780505791302,0,0,141,4,54,260,314,3703.441485691211,166.46990375758978,525.9603240000781,322.1023603327533
6378,22.28682,114.14081,Central & Western,792,Entire home/apt,3,1,2,1,5,1.39,4.8,1,45,43,1,243.29105798593724,1,0,56,3,36,96,132,2433.7940393733616,199.4707738099996,510.3825492923448,929.7218917754911
6379,22.2767,114.18249,Wan Chai,467,Private room,1,1,1,0,0,0,0,30,353,22,2,887.239342074066,0,0,130,8,43,246,289,3582.597282595646,50.767047721992505,580.9506032427469,510.4050250536874
6380,22.2767011,114.1824868,Wan Chai,484,Private room,1,1,1,0,0,0,0,30,347,23,2,886.9041414897279,0,0,130,8,43,246,289,3582.7634192631544,51.008419158448056,580.7229762937521,510.583620487164
6381,22.305276405611245,114.17003536732668,Yau Tsim Mong,238,Entire home/apt,1,1,1,0,0,0,0,15,265,6,1,372.1336967576192,1,0,105,7,58,182,240,2962.1315613835154,203.5569812332904,449.322722001358,40.8942332893059
6382,22.28559,114.14138,Central & Western,1215,Entire home/apt,2,1,1,0,3,1.76,5,2,22,20,1,131.22735971521055,1,0,62,1,32,93,125,2456.6857814217624,228.2594320400521,435.8879906730291,1013.5997302644996
6383,22.28252,114.15147,Central & Western,842,Entire home/apt,3,2,2,1,16,3.66,5,3,256,39,1,965.2894509331207,0,0,79,2,53,388,441,3300.4541347681347,42.266417012224025,182.3874618239069,399.55716441022895
6384,22.2836156,114.1278424,Central & Western,310,Private room,2,1,1,0,1,0.31,2,1,229,18,1,270.46044075116436,1,0,48,7,27,87,114,1051.9482438211833,226.1755592774728,71.6891606028483,630.2166411127849
6385,22.279577363741307,114.17580624273732,Wan Chai,1517,Entire home/apt,6,2,3,0,3,0.8,5,1,153,33,1,225.7574295185501,1,0,142,5,55,245,300,4043.873529511726,216.1659135155652,170.93842868525186,555.5061986817525
6386,22.30868,114.16474,Yau Tsim Mong,207,Shared room,1,1,16,1,5,1.22,4.8,1,310,29,5,526.7914707074139,0,0,40,1,20,37,57,2299.7008636457117,147.58570357882263,603.5903333242665,525.3867741019939
6388,22.2767,114.18249,Wan Chai,467,Private room,1,1,1,0,0,0,0,30,352,24,2,887.239342074066,0,0,130,8,43,246,289,3582.597282595646,50.767047721992505,580.9506032427469,510.4050250536874
6389,22.2852775,114.1419613,Central & Western,717,Entire home/apt,1,1,1,0,0,0,0,30,305,22,1,72.31666852393079,1,1,60,2,29,93,122,2507.926725502863,231.24061739289075,403.7106374294209,1080.0736920285542
6390,22.3037815,114.1698291,Yau Tsim Mong,836,Entire home/apt,7,3,7,0,11,2.68,5,28,97,35,1,336.3642315320293,1,0,99,0,62,187,249,3048.1714802959928,227.9548264412326,283.86494319661296,192.7862569988739
